town,block,street_name,flat_model,lease_commence_date,flat_type,storey_range
ANG MO KIO,406,ANG MO KIO AVE 10,Improved,1979,2 ROOM,10 TO 12
ANG MO KIO,108,ANG MO KIO AVE 4,New Generation,1978,3 ROOM,01 TO 03
ANG MO KIO,602,ANG MO KIO AVE 5,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,465,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,04 TO 06
ANG MO KIO,601,ANG MO KIO AVE 5,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,150,ANG MO KIO AVE 5,New Generation,1981,3 ROOM,01 TO 03
ANG MO KIO,447,ANG MO KIO AVE 10,New Generation,1979,3 ROOM,04 TO 06
ANG MO KIO,218,ANG MO KIO AVE 1,New Generation,1976,3 ROOM,04 TO 06
ANG MO KIO,571,ANG MO KIO AVE 3,New Generation,1979,3 ROOM,01 TO 03
ANG MO KIO,534,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,233,ANG MO KIO AVE 3,New Generation,1977,3 ROOM,10 TO 12
ANG MO KIO,235,ANG MO KIO AVE 3,New Generation,1977,3 ROOM,04 TO 06
ANG MO KIO,219,ANG MO KIO AVE 1,New Generation,1977,3 ROOM,07 TO 09
ANG MO KIO,536,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,07 TO 09
ANG MO KIO,230,ANG MO KIO AVE 3,New Generation,1978,3 ROOM,04 TO 06
ANG MO KIO,570,ANG MO KIO AVE 3,New Generation,1979,3 ROOM,10 TO 12
ANG MO KIO,624,ANG MO KIO AVE 4,New Generation,1980,3 ROOM,04 TO 06
ANG MO KIO,441,ANG MO KIO AVE 10,New Generation,1979,3 ROOM,07 TO 09
ANG MO KIO,625,ANG MO KIO AVE 9,New Generation,1980,3 ROOM,04 TO 06
ANG MO KIO,119,ANG MO KIO AVE 3,New Generation,1978,3 ROOM,07 TO 09
ANG MO KIO,255,ANG MO KIO AVE 4,New Generation,1977,3 ROOM,04 TO 06
ANG MO KIO,432,ANG MO KIO AVE 10,New Generation,1979,3 ROOM,10 TO 12
ANG MO KIO,211,ANG MO KIO AVE 3,New Generation,1977,3 ROOM,01 TO 03
ANG MO KIO,584,ANG MO KIO AVE 3,New Generation,1979,3 ROOM,04 TO 06
ANG MO KIO,118,ANG MO KIO AVE 4,New Generation,1978,3 ROOM,07 TO 09
ANG MO KIO,333,ANG MO KIO AVE 1,New Generation,1981,3 ROOM,07 TO 09
ANG MO KIO,256,ANG MO KIO AVE 4,New Generation,1977,3 ROOM,10 TO 12
ANG MO KIO,330,ANG MO KIO AVE 1,New Generation,1981,3 ROOM,07 TO 09
ANG MO KIO,557,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,10 TO 12
ANG MO KIO,302,ANG MO KIO AVE 3,New Generation,1978,3 ROOM,10 TO 12
ANG MO KIO,575,ANG MO KIO AVE 10,New Generation,1980,3 ROOM,07 TO 09
ANG MO KIO,509,ANG MO KIO AVE 8,New Generation,1980,3 ROOM,01 TO 03
ANG MO KIO,472,ANG MO KIO AVE 10,New Generation,1979,4 ROOM,10 TO 12
ANG MO KIO,475,ANG MO KIO AVE 10,New Generation,1979,4 ROOM,07 TO 09
ANG MO KIO,629,ANG MO KIO AVE 4,New Generation,1981,4 ROOM,01 TO 03
ANG MO KIO,546,ANG MO KIO AVE 10,New Generation,1981,4 ROOM,01 TO 03
ANG MO KIO,131,ANG MO KIO AVE 3,New Generation,1979,4 ROOM,01 TO 03
ANG MO KIO,254,ANG MO KIO AVE 4,New Generation,1977,4 ROOM,04 TO 06
ANG MO KIO,470,ANG MO KIO AVE 10,New Generation,1979,4 ROOM,04 TO 06
ANG MO KIO,601,ANG MO KIO AVE 5,New Generation,1980,4 ROOM,04 TO 06
ANG MO KIO,463,ANG MO KIO AVE 10,New Generation,1980,4 ROOM,04 TO 06
ANG MO KIO,207,ANG MO KIO AVE 1,New Generation,1976,4 ROOM,04 TO 06
ANG MO KIO,304,ANG MO KIO AVE 1,New Generation,1977,4 ROOM,10 TO 12
ANG MO KIO,646,ANG MO KIO AVE 6,New Generation,1980,4 ROOM,10 TO 12
ANG MO KIO,328,ANG MO KIO AVE 3,New Generation,1978,4 ROOM,10 TO 12
ANG MO KIO,588C,ANG MO KIO ST 52,DBSS,2011,4 ROOM,13 TO 15
ANG MO KIO,588D,ANG MO KIO ST 52,DBSS,2011,4 ROOM,19 TO 21
ANG MO KIO,588D,ANG MO KIO ST 52,DBSS,2011,4 ROOM,22 TO 24
ANG MO KIO,101,ANG MO KIO AVE 3,Standard,1978,5 ROOM,01 TO 03
ANG MO KIO,430,ANG MO KIO AVE 3,Improved,1979,5 ROOM,13 TO 15
ANG MO KIO,520,ANG MO KIO AVE 5,Improved,1980,5 ROOM,19 TO 21
ANG MO KIO,716,ANG MO KIO AVE 6,Improved,1980,5 ROOM,13 TO 15
ANG MO KIO,588A,ANG MO KIO ST 52,DBSS,2011,5 ROOM,10 TO 12
ANG MO KIO,310A,ANG MO KIO AVE 1,Improved,2012,5 ROOM,10 TO 12
ANG MO KIO,613,ANG MO KIO AVE 4,Apartment,1996,EXECUTIVE,07 TO 09
BEDOK,101,BEDOK NTH AVE 4,Improved,1978,2 ROOM,04 TO 06
BEDOK,548,BEDOK NTH AVE 1,New Generation,1980,3 ROOM,04 TO 06
BEDOK,75,BEDOK NTH RD,Improved,1978,3 ROOM,07 TO 09
BEDOK,550,BEDOK NTH AVE 1,New Generation,1980,3 ROOM,01 TO 03
BEDOK,1,BEDOK STH AVE 1,Improved,1976,3 ROOM,01 TO 03
BEDOK,151,BEDOK RESERVOIR RD,Simplified,1988,3 ROOM,04 TO 06
BEDOK,54,CHAI CHEE ST,New Generation,1981,3 ROOM,04 TO 06
BEDOK,50,CHAI CHEE ST,New Generation,1981,3 ROOM,04 TO 06
BEDOK,105,BEDOK RESERVOIR RD,New Generation,1985,3 ROOM,10 TO 12
BEDOK,528,BEDOK NTH ST 3,New Generation,1979,3 ROOM,13 TO 15
BEDOK,534,BEDOK NTH ST 3,Improved,1986,3 ROOM,10 TO 12
BEDOK,550,BEDOK NTH AVE 1,New Generation,1980,3 ROOM,04 TO 06
