project,district,marketSegment,startYear,cleanTenure
16 @ AMBER,15,RCR,1000,1000
183 LONGHAUS,20,RCR,1000,1000
26 NEWTON,11,CCR,1000,1000
6 DERBYSHIRE,11,CCR,1000,1000
8 @ MOUNT SOPHIA,9,CCR,2002,103
A TREASURE TROVE,19,OCR,2011,99
ADANA @ THOMSON,20,OCR,1000,1000
ALEX RESIDENCES,3,RCR,2013,99
AQUARIUS BY THE PARK,16,OCR,1996,99
ARCHIPELAGO,16,OCR,2011,99
ARDMORE PARK,10,CCR,1000,1000
ASPEN HEIGHTS,9,CCR,1841,999
AUSTVILLE RESIDENCES,19,OCR,2010,99
AVALON,10,CCR,1000,1000
AVENUE VILLAS,10,CCR,1000,1000
AVON PARK,13,RCR,1000,1000
AZALEA PARK CONDOMINIUM,17,OCR,1885,999
BARTLEY RESIDENCES,19,OCR,2011,99
BAYSHORE PARK,16,OCR,1982,99
BEDOK COURT,16,OCR,1982,99
BEDOK RESIDENCES,16,OCR,2011,99
BEDOK SHOPPING COMPLEX,16,OCR,1977,60
BELLEWATERS,19,OCR,2013,99
BELLEWOODS,25,OCR,2013,99
BIJOU,5,RCR,1000,1000
BISHAN LOFT,20,RCR,2000,99
BISHAN PARK CONDOMINIUM,20,RCR,1991,99
BISHAN POINT,20,RCR,1997,99
BOATHOUSE RESIDENCES,19,OCR,2011,99
BOTANIQUE AT BARTLEY,19,OCR,2014,99
BOTANNIA,5,OCR,1928,956
BRADDELL VIEW,20,RCR,1981,99
BURLINGTON SQUARE,7,RCR,1996,99
BUTTERWORTH 8,15,RCR,1000,1000
CACTUS BLOOM,28,OCR,1000,1000
CAIRNHILL CREST,9,CCR,1000,1000
CAIRNHILL NINE,9,CCR,2014,99
CALARASI,12,RCR,1000,1000
CANBERRA RESIDENCES,27,OCR,2010,99
CANNE LODGE,14,RCR,1000,1000
CARABELLE,5,OCR,1928,956
CARIBBEAN AT KEPPEL BAY,4,RCR,1999,99
CARISSA PARK CONDOMINIUM,17,OCR,1000,1000
CASHEW HEIGHTS CONDOMINIUM,23,OCR,1882,999
CASPIAN,22,OCR,2008,99
CASSIA VIEW,14,RCR,1000,1000
CASTLE GREEN,26,OCR,1993,99
CASUARINA COVE,15,RCR,1993,99
CAVENAGH COURT,9,CCR,1000,1000
CENTRAL GREEN CONDOMINIUM,3,RCR,1992,99
CENTRAL IMPERIAL,14,RCR,1000,1000
CENTURY MANSIONS,23,OCR,1000,1000
CHANGI COURT,16,OCR,1000,1000
CHANGI GREEN,16,OCR,1000,1000
CHANTILLY RISE,23,OCR,1000,1000
CHARLESTON,10,CCR,1000,1000
CHEN FANG MANSIONS,14,RCR,1000,1000
CHILTERN PARK,19,OCR,1991,99
CHUAN PARK,19,OCR,1980,99
CITY GATE,7,RCR,2014,99
CITY SQUARE RESIDENCES,8,RCR,1000,1000
CITYLIGHTS,8,RCR,2004,99
CLEMENTI PARK,21,OCR,1000,1000
CLOVER BY THE PARK,20,RCR,2007,99
COCO PALMS,18,OCR,2008,99
